MedInc,HouseAge,AveRooms,AveBedrms,Population,Latitude,Longitude,target
3.0147,52,6.740740741,1.111111111,806,40.54,-124.35,0.946
1.9797,19,5.589958159,1.154811715,1298,41.8,-124.3,0.858
3.0313,17,5.870614035,1.164473684,1244,41.84,-124.3,1.036
2.5179,36,5.051612903,1.135483871,1194,40.69,-124.27,0.79
2.3571,52,6.008130081,1.067750678,907,40.58,-124.26,1.114
1.9417,32,7.647058824,2.240641711,434,40.28,-124.25,0.761
2.4805,11,6.594989562,1.286012526,1343,41.75,-124.23,0.732
3.3462,52,6.465116279,1.215116279,544,40.81,-124.23,0.508
3.0806,52,6.193103448,1.04137931,1152,40.54,-124.23,1.067
1.7038,28,4.598774885,1.070444104,1530,41.73,-124.22,0.783
2.5795,17,5.349304482,1.115919629,1947,41.77,-124.21,0.684
2.0074,20,5.284327323,1.091539528,1993,41.75,-124.21,0.669
1.6528,32,4.544776119,1.235074627,620,40.75,-124.21,0.581
1.6654,15,4.90625,1.115625,1645,41.78,-124.19,0.746
1.8242,37,5.273076923,1.226923077,640,40.78,-124.19,0.7
2.442,30,5.102915952,1.087478559,1367,40.77,-124.19,0.69
3.5363,21,5.858024691,1.086419753,2907,40.73,-124.19,0.901
1.745,39,5.448071217,1.044510386,883,40.79,-124.18,0.705
1.4668,40,5.010752688,1.114695341,788,40.79,-124.18,0.646
2.5536,37,4.687096774,0.94516129,867,40.78,-124.18,0.702
2.5096,33,4.559322034,0.940677966,656,40.78,-124.18,0.722
2.1607,34,5.022082019,1.148264984,950,40.78,-124.18,0.67
3.0536,35,5.318435754,0.994413408,480,40.62,-124.18,1.07
3.7557,16,6.282110092,1.100917431,1259,41.8,-124.17,1.094
2.4605,20,5.200389105,1.046692607,1282,41.76,-124.17,1.059
0.957,52,2.709016393,1.295081967,392,40.8,-124.17,0.6
1.585,52,4.376021798,1.141689373,891,40.8,-124.17,0.755
1.8529,52,4.880877743,1.078369906,758,40.8,-124.17,0.625
1.6369,39,4.911314985,1.009174312,731,40.78,-124.17,0.683
1.9688,43,4.7406639,0.993775934,1169,40.79,-124.17,0.705
2.2227,30,5.278551532,1.019498607,990,40.77,-124.17,0.813
4.8516,13,6.150141643,0.960339943,951,40.75,-124.17,1.161
2.8056,26,4.673684211,0.95,992,40.76,-124.17,0.828
4.0357,17,6.47284345,1.079872204,873,40.74,-124.17,1.289
2.8958,32,5.758122744,1.115523466,706,40.62,-124.17,0.864
2.1829,15,5.122641509,1.073584906,1532,41.74,-124.16,0.695
2.1336,19,5.893992933,1.144876325,841,41.92,-124.16,0.75
1.7308,52,4.23117338,1.082311734,1150,40.8,-124.16,0.805
1.7778,52,4.450704225,0.975352113,591,40.79,-124.16,0.769
2.2566,52,4.995348837,0.979069767,975,40.79,-124.16,0.927
2.5417,50,6.473087819,1.141643059,837,40.78,-124.16,0.854
2.9038,43,5.673417722,1.129113924,932,40.78,-124.16,0.82
2.8529,35,4.933179724,1.00921659,1053,40.77,-124.16,0.856
1.6111,52,4.804878049,1.064301552,908,40.8,-124.16,0.747
1.1386,52,3.914942529,1.149425287,952,40.8,-124.16,0.741
3.8,46,5.659025788,0.991404011,791,40.78,-124.16,0.818
2.1135,46,5.622920518,1.103512015,1206,40.79,-124.16,0.906
2.1726,23,4.287179487,0.987179487,1060,41.02,-124.16,0.755
3.1406,20,5.484693878,1.091836735,529,40.95,-124.16,0.96
2.4519,39,4.52739726,0.969178082,642,40.6,-124.16,0.851
2.2868,17,5.6,1.073504274,3546,41.81,-124.15,1.031
1.75,50,4.096385542,0.891566265,235,40.81,-124.15,0.675
1.755,47,4.516717325,1.018237082,765,40.8,-124.15,0.741
3.1711,41,6.094555874,1.025787966,911,40.78,-124.15,1.042
3.0216,37,5.53909465,1.004115226,1263,40.79,-124.15,0.864
3.375,24,5.58203125,0.998046875,1388,40.76,-124.15,1.006
3.3984,36,5.739130435,1.016304348,829,40.78,-124.15,0.9
1.725,33,5.068027211,1.14739229,1165,40.88,-124.15,0.575
2.0938,39,5.594339623,1.122641509,539,40.59,-124.15,0.796
2.275,21,5.457489879,1.170040486,1208,41.95,-124.14,1.224
2.5,32,4.486928105,1.019607843,872,40.8,-124.14,0.726
2.4896,38,5.333333333,0.996563574,873,40.79,-124.14,0.81
3.4219,35,5.615740741,0.979166667,982,40.78,-124.14,0.928
2.9143,27,5.334500876,1.059544658,1407,40.77,-124.14,0.996
3.0208,32,5.151515152,1.085858586,421,41.06,-124.14,1.434
2.8446,18,5.131212724,0.992047714,1375,40.72,-124.14,1.005
4.2054,23,5.321100917,1.073394495,320,40.67,-124.14,1.306
4.025,27,5.242009132,0.940639269,521,40.6,-124.14,1.281
1.5625,22,4.358638743,1.060209424,826,40.59,-124.14,0.668
2.178,17,5.11130137,1.044520548,1544,40.59,-124.14,0.768
2.6987,25,5.349295775,1.005633803,891,40.58,-124.14,0.925
2.1354,29,5.096085409,1.067615658,1314,40.57,-124.14,0.751
2.1101,34,5.607329843,1.09947644,1056,40.78,-124.13,0.869
2.2478,31,5.123809524,1.1,1259,40.8,-124.13,0.811
2.8833,29,5.793911007,1.06088993,1130,40.79,-124.13,0.83
3.5833,32,5.829479769,1.037572254,855,40.79,-124.13,0.928
2.5804,43,5.4781491,1.025706941,910,40.62,-124.13,0.921
3.25,38,5.978021978,0,240,40.55,-124.13,0.948
2.5536,23,5.48,1.211428571,425,40.81,-124.11,0.961
2.96,19,5.070175439,1.067251462,866,40.95,-124.11,0.817
3.5076,25,5.188720174,1.028199566,1298,40.93,-124.11,0.736
2.7639,17,4.652661064,0.921568627,948,40.93,-124.11,0.902
2.4896,33,5.711864407,0.991525424,573,40.57,-124.11,0.741
2.0657,35,5.105982906,0.988034188,1581,40.88,-124.1,0.811
2.7321,18,5.202580645,1.029677419,1948,40.9,-124.1,0.926
1.9741,26,4.413513514,1.027027027,890,41.04,-124.1,0.979
1.8993,17,4.699367089,1.091772152,823,40.95,-124.1,0.784
3.9659,33,5.32231405,1.066115702,334,40.73,-124.1,1.118
2.2357,30,5.152406417,1.050802139,996,40.5,-124.1,0.723
1.7574,42,4.722222222,1.097222222,1300,40.5,-124.1,0.575
3.5345,52,4.513207547,0.890566038,965,40.47,-124.1,0.55
1.1742,25,3.488126649,1.021108179,794,40.86,-124.09,0.75
1.1576,44,3.279620853,0.976303318,398,40.87,-124.09,0.875
2.2188,50,4.92513369,1,420,40.88,-124.09,1.058
1.5326,31,4.244111349,1.059957173,1052,40.88,-124.09,0.741
2.4321,26,5.100760456,1.05513308,1353,40.88,-124.09,0.821
2.5893,18,4.766949153,1.025423729,1248,40.95,-124.09,0.996
